                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5149,                 4.6007,                   3.99,                0.25111,                0.09812,                0.00232,                0.00062,                 3.0423,                 4.9112,                 3.6329,             0.00020769,             0.00020769,             0.00020769
                      2,                 2.8321,                 4.1264,                  3.172,                0.26275,                0.02777,                0.00577,                0.00174,                 2.7139,                 4.2664,                  3.152,             0.00039955,             0.00039955,             0.00039955
                      3,                 2.4863,                 3.8323,                 2.7542,                0.01783,                0.26095,                 0.0185,                0.00562,                 2.4871,                 3.7141,                 2.9092,              0.0005749,              0.0005749,              0.0005749
                      4,                 2.3391,                 3.5995,                 2.6021,                0.16502,                0.06472,                0.02978,                0.00902,                  2.442,                 3.6065,                 2.8056,             0.00055075,             0.00055075,             0.00055075
                      5,                 2.2553,                 3.4541,                 2.5182,                0.21029,                0.12685,                0.05423,                0.01801,                    2.3,                 3.5072,                 2.6852,             0.00055075,             0.00055075,             0.00055075
                      6,                 2.2157,                 3.3442,                 2.4596,                0.15173,                0.13543,                0.07283,                0.02583,                 2.2887,                 3.2323,                   2.62,               0.000526,               0.000526,               0.000526
                      7,                 2.1643,                 3.2752,                 2.4162,                0.18278,                0.14912,                0.09329,                0.03624,                 2.2449,                 3.1595,                 2.5885,             0.00050125,             0.00050125,             0.00050125
                      8,                 2.1486,                 3.1603,                 2.3846,                 0.1939,                0.18278,                 0.0959,                0.03407,                 2.2153,                 3.1201,                 2.5654,              0.0004765,              0.0004765,              0.0004765
                      9,                 2.1232,                  3.091,                   2.36,                0.21949,                0.17518,                0.10578,                0.03924,                 2.2098,                  3.063,                 2.5526,             0.00045175,             0.00045175,             0.00045175
                     10,                 2.0827,                 3.0146,                 2.3341,                0.26286,                0.22473,                0.15477,                0.06098,                 2.1607,                 2.8728,                 2.5031,               0.000427,               0.000427,               0.000427
                     11,                 2.0621,                 2.9617,                 2.3127,                0.28223,                0.20545,                0.15784,                0.06238,                  2.152,                 2.8789,                  2.514,             0.00040225,             0.00040225,             0.00040225
                     12,                 2.0559,                 2.8973,                 2.2971,                0.29089,                0.24307,                0.17997,                0.07086,                 2.1534,                 2.8265,                 2.4852,              0.0003775,              0.0003775,              0.0003775
                     13,                 2.0287,                 2.8525,                 2.2775,                0.30166,                0.26384,                0.18903,                0.07663,                 2.1587,                  2.784,                 2.5025,             0.00035275,             0.00035275,             0.00035275
                     14,                 2.0116,                 2.8031,                 2.2626,                0.31528,                 0.2757,                0.20692,                0.08606,                 2.1098,                 2.6991,                 2.4826,               0.000328,               0.000328,               0.000328
                     15,                 2.0033,                 2.7489,                 2.2546,                 0.3113,                 0.2807,                0.22216,                0.09062,                 2.1195,                 2.6522,                 2.4535,             0.00030325,             0.00030325,             0.00030325
                     16,                 2.0571,                 2.6608,                 2.3581,                0.34992,                0.27076,                0.24148,                  0.104,                 2.0768,                  2.607,                 2.4309,              0.0002785,              0.0002785,              0.0002785
                     17,                 2.0421,                 2.5678,                  2.347,                0.36409,                0.31865,                0.26934,                0.11552,                 2.0628,                 2.5089,                 2.4099,             0.00025375,             0.00025375,             0.00025375
                     18,                 2.0323,                 2.5067,                 2.3242,                0.37969,                 0.3372,                0.29374,                0.12677,                 2.0441,                 2.4305,                 2.4079,               0.000229,               0.000229,               0.000229
                     19,                 2.0175,                 2.4575,                 2.3115,                0.38324,                0.33588,                0.29371,                0.12789,                  2.037,                 2.4282,                 2.3863,             0.00020425,             0.00020425,             0.00020425
                     20,                 2.0014,                 2.4011,                 2.2916,                0.40926,                0.35021,                0.31303,                0.13415,                 2.0518,                  2.403,                 2.3924,              0.0001795,              0.0001795,              0.0001795
                     21,                  1.985,                 2.3536,                   2.28,                0.40885,                0.34886,                0.31932,                0.14056,                 2.0459,                 2.3631,                 2.3826,             0.00015475,             0.00015475,             0.00015475
                     22,                 1.9707,                 2.3121,                 2.2728,                0.43836,                0.36189,                0.34482,                0.15054,                 2.0244,                 2.2979,                 2.3674,                0.00013,                0.00013,                0.00013
                     23,                 1.9606,                 2.2764,                 2.2582,                0.44804,                 0.3813,                0.35326,                0.15388,                 2.0189,                 2.2576,                 2.3711,             0.00010525,             0.00010525,             0.00010525
                     24,                 1.9477,                 2.2348,                 2.2469,                0.43789,                0.38812,                0.36066,                0.15972,                 2.0177,                 2.2491,                 2.3597,               8.05e-05,               8.05e-05,               8.05e-05
                     25,                  1.933,                  2.196,                 2.2325,                 0.4659,                 0.3833,                0.37277,                0.16389,                 2.0117,                 2.2096,                 2.3585,              5.575e-05,              5.575e-05,              5.575e-05
